urb_id,urb_type,transfer_type,endpoint_number,urb_direction,device_number,bus_number,setup_request,data_flag,urb_sec,urb_usec,urb_status,urb_length,data_length,urb_unusedsetup_header
18446632715112654912,S,3,2,0,7,2,45,0,1727432105,748159,4294967181,31,31,0
18446632715112654912,C,3,2,0,7,2,45,62,1727432105,748214,0,31,0,0
18446632715112654912,S,3,1,8,7,2,45,60,1727432105,748249,4294967181,13,0,0
18446632715112654912,C,3,1,8,7,2,45,0,1727432105,748453,0,13,13,0
18446632715112654912,S,3,2,0,7,2,45,0,1727432107,797153,4294967181,31,31,0
18446632715112654912,C,3,2,0,7,2,45,62,1727432107,797207,0,31,0,0
18446632715112654912,S,3,1,8,7,2,45,60,1727432107,797252,4294967181,13,0,0
18446632715112654912,C,3,1,8,7,2,45,0,1727432107,797311,0,13,13,0
18446632715112654912,S,3,2,0,7,2,45,0,1727432108,291462,4294967181,31,31,0
18446632715112654912,C,3,2,0,7,2,45,62,1727432108,291514,0,31,0,0
18446632716633204800,S,3,1,8,7,2,45,60,1727432108,291520,4294967181,3072,0,0
18446632716633204800,C,3,1,8,7,2,45,0,1727432108,297393,0,3072,3072,0
18446632715112654912,S,3,1,8,7,2,45,60,1727432108,297397,4294967181,13,0,0
18446632715112654912,C,3,1,8,7,2,45,0,1727432108,297456,0,13,13,0
18446632715112654912,S,3,2,0,7,2,45,0,1727432108,297483,4294967181,31,31,0
18446632715112654912,C,3,2,0,7,2,45,62,1727432108,297535,0,31,0,0
18446632716633204800,S,3,1,8,7,2,45,60,1727432108,297539,4294967181,131072,0,0
18446632716633204800,C,3,1,8,7,2,45,68,1727432108,298652,0,131072,0,0
18446632715112654912,S,3,1,8,7,2,45,60,1727432108,298656,4294967181,13,0,0
18446632715112654912,C,3,1,8,7,2,45,0,1727432108,298709,0,13,13,0
18446632715112654912,S,3,2,0,7,2,45,0,1727432108,298769,4294967181,31,31,0
18446632715112654912,C,3,2,0,7,2,45,62,1727432108,298827,0,31,0,0
18446632716633204800,S,3,1,8,7,2,45,60,1727432108,298831,4294967181,131072,0,0
18446632716633204800,C,3,1,8,7,2,45,68,1727432108,299937,0,131072,0,0
18446632715112654912,S,3,1,8,7,2,45,60,1727432108,299941,4294967181,13,0,0
18446632715112654912,C,3,1,8,7,2,45,0,1727432108,299951,0,13,13,0
18446632715112654912,S,3,2,0,7,2,45,0,1727432108,299999,4294967181,31,31,0
18446632715112654912,C,3,2,0,7,2,45,62,1727432108,300011,0,31,0,0
18446632716633204800,S,3,1,8,7,2,45,60,1727432108,300014,4294967181,131072,0,0
18446632716633204800,C,3,1,8,7,2,45,68,1727432108,301135,0,131072,0,0
18446632715112654912,S,3,1,8,7,2,45,60,1727432108,301168,4294967181,13,0,0
18446632715112654912,C,3,1,8,7,2,45,0,1727432108,301205,0,13,13,0
18446632715112654912,S,3,2,0,7,2,45,0,1727432108,301298,4294967181,31,31,0
18446632715112654912,C,3,2,0,7,2,45,62,1727432108,301346,0,31,0,0
18446632716633204800,S,3,1,8,7,2,45,60,1727432108,301350,4294967181,123904,0,0
18446632716633204800,C,3,1,8,7,2,45,68,1727432108,302429,0,123904,0,0
18446632715112654912,S,3,1,8,7,2,45,60,1727432108,302457,4294967181,13,0,0
18446632715112654912,C,3,1,8,7,2,45,0,1727432108,302469,0,13,13,0
18446632715112654912,S,3,2,0,7,2,45,0,1727432108,302590,4294967181,31,31,0
18446632715112654912,C,3,2,0,7,2,45,62,1727432108,302618,0,31,0,0
18446632716633204800,S,3,1,8,7,2,45,60,1727432108,302621,4294967181,134144,0,0
18446632716633204800,C,3,1,8,7,2,45,68,1727432108,303827,0,134144,0,0
18446632715112654912,S,3,1,8,7,2,45,60,1727432108,303833,4294967181,13,0,0
18446632715112654912,C,3,1,8,7,2,45,0,1727432108,303875,0,13,13,0
