urb_id,urb_type,transfer_type,endpoint_number,urb_direction,device_number,bus_number,setup_request,data_flag,urb_sec,urb_usec,urb_status,urb_length,data_length,urb_unusedsetup_header
18446632715050832640,S,3,2,8,9,2,45,60,1727432464,472432,4294967181,112,0,0
18446632715050832832,S,3,3,8,9,2,45,60,1727432464,472447,4294967181,131072,0,0
18446632715050834944,S,3,1,0,9,2,45,0,1727432464,472465,4294967181,32,32,0
18446632715050834944,C,3,1,0,9,2,45,62,1727432464,472479,0,32,0,0
18446632715050832832,C,3,3,8,9,2,45,68,1727432464,565112,0,131072,0,0
18446632715050832640,C,3,2,8,9,2,45,0,1727432464,565115,0,16,16,0
18446632715050835328,S,3,2,8,9,2,45,60,1727432464,565443,4294967181,112,0,0
18446632715050834368,S,3,3,8,9,2,45,60,1727432464,565454,4294967181,131072,0,0
18446632715050833792,S,3,1,0,9,2,45,0,1727432464,565473,4294967181,32,32,0
18446632715050833792,C,3,1,0,9,2,45,62,1727432464,565528,0,32,0,0
18446632715050834368,C,3,3,8,9,2,45,68,1727432464,566784,0,131072,0,0
18446632715050835328,C,3,2,8,9,2,45,0,1727432464,566789,0,16,16,0
18446632715050834176,S,3,2,8,9,2,45,60,1727432464,567086,4294967181,112,0,0
18446632715050833600,S,3,3,8,9,2,45,60,1727432464,567094,4294967181,4096,0,0
18446632715050835136,S,3,1,0,9,2,45,0,1727432464,567097,4294967181,32,32,0
18446632715050835136,C,3,1,0,9,2,45,62,1727432464,567107,0,32,0,0
18446632715050833600,C,3,3,8,9,2,45,0,1727432464,570221,0,4096,4096,0
18446632715050834176,C,3,2,8,9,2,45,0,1727432464,570226,0,16,16,0
18446632715050835712,S,3,2,8,9,2,45,60,1727432464,570702,4294967181,112,0,0
18446632715050832256,S,3,3,8,9,2,45,60,1727432464,570712,4294967181,131072,0,0
18446632715050835520,S,3,1,0,9,2,45,0,1727432464,570730,4294967181,32,32,0
18446632715050835520,C,3,1,0,9,2,45,62,1727432464,570741,0,32,0,0
18446632715050832256,C,3,3,8,9,2,45,68,1727432464,574487,0,131072,0,0
18446632715050835712,C,3,2,8,9,2,45,0,1727432464,574490,0,16,16,0
18446632723203949120,S,3,2,8,9,2,45,60,1727432464,579304,4294967181,112,0,0
18446632723203948928,S,3,3,8,9,2,45,60,1727432464,579314,4294967181,131072,0,0
18446632723203952000,S,3,1,0,9,2,45,0,1727432464,579332,4294967181,32,32,0
18446632723203952000,C,3,1,0,9,2,45,62,1727432464,579343,0,32,0,0
18446632723203948928,C,3,3,8,9,2,45,68,1727432464,580074,0,131072,0,0
18446632723203949120,C,3,2,8,9,2,45,0,1727432464,580078,0,16,16,0
18446632715050833984,S,3,2,8,9,2,45,60,1727432464,580604,4294967181,112,0,0
18446632715050835712,S,3,3,8,9,2,45,60,1727432464,580613,4294967181,131072,0,0
18446632715050832256,S,3,1,0,9,2,45,0,1727432464,580631,4294967181,32,32,0
18446632715050832256,C,3,1,0,9,2,45,62,1727432464,580642,0,32,0,0
18446632715050835712,C,3,3,8,9,2,45,68,1727432464,581341,0,131072,0,0
18446632715050833984,C,3,2,8,9,2,45,0,1727432464,581345,0,16,16,0
18446632719052738304,S,3,2,8,9,2,45,60,1727432464,585215,4294967181,112,0,0
18446632719052735424,S,3,3,8,9,2,45,60,1727432464,585225,4294967181,131072,0,0
18446632719052735616,S,3,1,0,9,2,45,0,1727432464,585244,4294967181,32,32,0
18446632719052735616,C,3,1,0,9,2,45,62,1727432464,585256,0,32,0,0
18446632719052735424,C,3,3,8,9,2,45,68,1727432464,585809,0,131072,0,0
18446632719052738304,C,3,2,8,9,2,45,0,1727432464,585812,0,16,16,0
18446632715025112640,S,3,2,8,9,2,45,60,1727432469,971350,4294967181,112,0,0
18446632715025111872,S,3,3,8,9,2,45,60,1727432469,971365,4294967181,524288,0,0
18446632715025111104,S,3,1,0,9,2,45,0,1727432469,971401,4294967181,32,32,0
18446632715025111104,C,3,1,0,9,2,45,62,1727432469,971447,0,32,0,0
18446632715025111872,C,3,3,8,9,2,45,68,1727432470,69143,0,524288,0,0
18446632715025112640,C,3,2,8,9,2,45,0,1727432470,69150,0,16,16,0
18446632715025112256,S,3,2,8,9,2,45,60,1727432470,69397,4294967181,112,0,0
18446632715025110144,S,3,3,8,9,2,45,60,1727432470,69413,4294967181,524288,0,0
18446632715025112064,S,3,1,0,9,2,45,0,1727432470,69451,4294967181,32,32,0
18446632715025112064,C,3,1,0,9,2,45,62,1727432470,69465,0,32,0,0
18446632715025111680,S,3,2,8,9,2,45,60,1727432470,69601,4294967181,112,0,0
18446632715025109952,S,3,3,8,9,2,45,60,1727432470,69613,4294967181,524288,0,0
18446632715025110720,S,3,1,0,9,2,45,0,1727432470,69658,4294967181,32,32,0
18446632715025110720,C,3,1,0,9,2,45,62,1727432470,69685,0,32,0,0
18446632715025110144,C,3,3,8,9,2,45,68,1727432470,72483,0,524288,0,0
18446632715025112256,C,3,2,8,9,2,45,0,1727432470,72524,0,16,16,0
18446632715025110528,S,3,2,8,9,2,45,60,1727432470,73209,4294967181,112,0,0
18446632715025112832,S,3,3,8,9,2,45,60,1727432470,73223,4294967181,524288,0,0
18446632715025108992,S,3,1,0,9,2,45,0,1727432470,73255,4294967181,32,32,0
18446632715025108992,C,3,1,0,9,2,45,62,1727432470,73265,0,32,0,0
18446632715025109952,C,3,3,8,9,2,45,68,1727432470,75836,0,524288,0,0
18446632715025111680,C,3,2,8,9,2,45,0,1727432470,75917,0,16,16,0
18446632715025109376,S,3,2,8,9,2,45,60,1727432470,76055,4294967181,112,0,0
18446632715025109760,S,3,3,8,9,2,45,60,1727432470,76064,4294967181,524288,0,0
18446632715025110336,S,3,1,0,9,2,45,0,1727432470,76096,4294967181,32,32,0
18446632715025110336,C,3,1,0,9,2,45,62,1727432470,76129,0,32,0,0
18446632715025112832,C,3,3,8,9,2,45,68,1727432470,79189,0,524288,0,0
18446632715025110528,C,3,2,8,9,2,45,0,1727432470,79237,0,16,16,0
18446632715025110528,S,3,2,8,9,2,45,60,1727432470,79896,4294967181,112,0,0
18446632715025112832,S,3,3,8,9,2,45,60,1727432470,79905,4294967181,524288,0,0
18446632715025110336,S,3,1,0,9,2,45,0,1727432470,79940,4294967181,32,32,0
18446632715025110336,C,3,1,0,9,2,45,62,1727432470,79951,0,32,0,0
18446632715025109760,C,3,3,8,9,2,45,68,1727432470,83603,0,524288,0,0
18446632715025109376,C,3,2,8,9,2,45,0,1727432470,83605,0,16,16,0
18446632715025111680,S,3,2,8,9,2,45,60,1727432470,83746,4294967181,112,0,0
18446632715025109952,S,3,3,8,9,2,45,60,1727432470,83755,4294967181,524288,0,0
18446632715025108992,S,3,1,0,9,2,45,0,1727432470,83787,4294967181,32,32,0
18446632715025108992,C,3,1,0,9,2,45,62,1727432470,83833,0,32,0,0
18446632715025112832,C,3,3,8,9,2,45,68,1727432470,86899,0,524288,0,0
18446632715025110528,C,3,2,8,9,2,45,0,1727432470,86901,0,16,16,0
18446632715025112256,S,3,2,8,9,2,45,60,1727432470,87509,4294967181,112,0,0
18446632715025110144,S,3,3,8,9,2,45,60,1727432470,87517,4294967181,524288,0,0
18446632715025110720,S,3,1,0,9,2,45,0,1727432470,87552,4294967181,32,32,0
