urb_id,urb_type,transfer_type,endpoint_number,urb_direction,device_number,bus_number,setup_request,data_flag,urb_sec,urb_usec,urb_status,urb_length,data_length,urb_unusedsetup_header,payload_data,,,,,,,
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,556576,0,7,7,0,(3\, 0\, 0\, 64\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,556586,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,564576,0,7,7,0,(3\, 0\, 0\, 16\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,564582,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,572543,0,7,7,0,(3\, 0\, 0\, 160\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,572551,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,580577,0,7,7,0,(3\, 0\, 0\, 96\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,580584,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,588544,0,7,7,0,(3\, 0\, 254\, 95\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,588551,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,596576,0,7,7,0,(3\, 0\, 0\, 32\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,596583,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,604557,0,7,7,0,(3\, 0\, 255\, 95\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,604566,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,612544,0,7,7,0,(3\, 0\, 251\, 95\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,612556,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,620588,0,7,7,0,(3\, 0\, 251\, 63\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,620594,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,628652,0,7,7,0,(3\, 0\, 252\, 47\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,628661,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,636574,0,7,7,0,(3\, 0\, 245\, 95\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,636580,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,644637,0,7,7,0,(3\, 0\, 244\, 79\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,644646,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,652576,0,7,7,0,(3\, 0\, 242\, 95\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,652582,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,660634,0,7,7,0,(3\, 0\, 241\, 95\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,660644,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,668577,0,7,7,0,(3\, 0\, 240\, 79\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,668583,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,676650,0,7,7,0,(3\, 0\, 241\, 47\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,676660,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,684574,0,7,7,0,(3\, 0\, 241\, 47\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,684580,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,692636,0,7,7,0,(3\, 0\, 241\, 31\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,692645,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,700574,0,7,7,0,(3\, 0\, 242\, 31\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,700580,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,708648,0,7,7,0,(3\, 0\, 243\, 31\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,708658,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,716576,0,7,7,0,(3\, 0\, 244\, 15\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,716582,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,724580,0,7,7,0,(3\, 0\, 244\, 15\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,724588,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,732576,0,7,7,0,(3\, 0\, 246\, 255\, 255\, 0\, 0),
