fl_dur,tot_fw_pk,tot_bw_pk,fw_pkt_l_max,fw_pkt_l_min,fw_pkt_l_avg,fw_pkt_l_std,bw_pkt_l_max,bw_pkt_l_min,bw_pkt_l_mean,bw_pkt_l_std,fw_fl_byt_s,bw_fl_byt_s,fw_fl_pkt_s,bw_fl_pkt_s,fw_iat_tot,fw_iat_avg,fw_iat_std,fw_iat_max,fw_iat_min,bw_iat_tot,bw_iat_avg,bw_iat_std,bw_iat_max,bw_iat_min,fw_pkt_s,bw_pkt_s,pkt_size_avg,Label_code,Label_Desc
0.0036971569061279297,0,4,0,0,0.0,0.0,64,48,56.0,9.237604307034012,0.0,60587.09589217773,0.0,1081.9124266460308,0.0,0.0,0.0,0.0,0.0,0.0036971569061279297,0.0012323856353759766,0.002056510394599259,0.003607034683227539,4.100799560546875e-05,0.0,1081.9124266460308,56.0,0,Benign
9.083747863769531e-05,2,2,61488,48,30768.0,43444.64063610148,64,48,56.0,11.313708498984761,677429635.023622,1232971.2545931758,22017.343832020997,22017.343832020997,2.288818359375e-05,1.1444091796875e-05,3.7089226689586747e-06,1.4066696166992188e-05,8.821487426757812e-06,6.794929504394531e-05,6.794929504394531e-05,,6.794929504394531e-05,6.794929504394531e-05,226719.13513513515,29433.712280701755,15412.0,0,Benign
3.218650817871094e-05,4,0,61488,48,15424.0,30709.33703832327,0,0,0.0,0.0,1916827996.9185185,0.0,124275.67407407408,0.0,3.218650817871094e-05,1.0728836059570312e-05,1.1052443491458186e-05,2.3126602172851562e-05,1.9073486328125e-06,0.0,0.0,0.0,0.0,0.0,124275.67407407408,0.0,15424.0,0,Benign
1.0967254638671875e-05,2,2,61488,48,30768.0,43444.64063610148,48,48,48.0,0.0,5610884585.73913,8753330.086956521,182361.04347826086,182361.04347826086,0.0,0.0,,0.0,0.0,1.0967254638671875e-05,5.4836273193359375e-06,3.7089226689586747e-06,8.106231689453125e-06,2.86102294921875e-06,699050.6666666666,246723.76470588235,15408.0,0,Benign
2.384185791015625e-05,4,0,61488,48,15424.0,30709.33703832327,0,0,0.0,0.0,2587717795.84,0.0,167772.16,0.0,2.384185791015625e-05,7.947285970052084e-06,7.240758247307524e-06,1.5974044799804688e-05,1.9073486328125e-06,0.0,0.0,0.0,0.0,0.0,167772.16,0.0,15424.0,0,Benign
1.2159347534179688e-05,2,2,80,48,64.0,22.627416997969522,48,48,48.0,0.0,10526880.62745098,7895160.470588235,164482.50980392157,164482.50980392157,1.1920928955078125e-06,1.1920928955078125e-06,,1.1920928955078125e-06,1.1920928955078125e-06,1.0967254638671875e-05,5.4836273193359375e-06,6.406320973655893e-06,1.0013580322265625e-05,9.5367431640625e-07,178481.02127659574,932067.5555555555,56.0,0,Benign
4.410743713378906e-05,2,2,80,48,64.0,22.627416997969522,48,48,48.0,0.0,2902004.92972973,2176503.6972972974,45343.82702702703,45343.82702702703,1.0013580322265625e-05,1.0013580322265625e-05,,1.0013580322265625e-05,1.0013580322265625e-05,3.409385681152344e-05,1.704692840576172e-05,2.2422123407795626e-05,3.2901763916015625e-05,1.1920928955078125e-06,199728.7619047619,1677721.6,56.0,0,Benign
0.003712177276611328,0,4,0,0,0.0,0.0,64,48,56.0,9.237604307034012,0.0,60341.94579319203,0.0,1077.5347463070007,0.0,0.0,0.0,0.0,0.0,0.003712177276611328,0.0012373924255371094,0.0020652755203168813,0.0036220550537109375,2.5033950805664062e-05,0.0,1077.5347463070007,56.0,0,Benign
0.0037369728088378906,0,4,0,0,0.0,0.0,64,48,56.0,9.237604307034012,0.0,59941.56539492153,0.0,1070.3850963378843,0.0,0.0,0.0,0.0,0.0,0.0037369728088378906,0.0012456576029459636,0.0020572532060274705,0.0036208629608154297,2.5033950805664062e-05,0.0,1070.3850963378843,56.0,0,Benign
0.0046880245208740234,0,4,0,0,0.0,0.0,64,48,56.0,9.237604307034012,0.0,47781.32004271983,0.0,853.2378579057113,0.0,0.0,0.0,0.0,0.0,0.0046880245208740234,0.001562674840291341,0.0025862576042325136,0.0045490264892578125,6.699562072753906e-05,0.0,853.2378579057113,56.0,0,Benign
