tot_fw_pk,tot_bw_pk,tot_l_fw_pkt,fw_pkt_l_max,fw_pkt_l_min,fw_pkt_l_avg,fw_pkt_l_std,tot_l_bw_pkt,bw_pkt_l_max,bw_pkt_l_min,bw_pkt_l_avg,bw_pkt_l_std,fl_dur,fw_fl_byt_s,bw_fl_byt_s,fw_iat_tot,fw_iat_avg,fw_iat_std,fw_iat_max,fw_iat_min,bw_iat_tot,bw_iat_avg,bw_iat_std,bw_iat_max,bw_iat_min,Label_code,Label_Desc
2,4,109,61,48,54.5,9.192388155425117,254,79,48,63.5,17.897858344878397,2.0490481853485107,53.195430336578845,123.95999362835805,0.00023889541625976562,0.00011944770812988281,0.0001193598749828519,0.00020384788513183594,3.504753112792969e-05,2.048809289932251,0.682936429977417,1.1827860288025112,2.0487000942230225,5.412101745605469e-05,0,Benign
4,2,3277,3120,48,819.25,1533.8455756692067,127,79,48,63.5,21.920310216782973,0.5001411437988281,6552.150409201504,253.92831918480044,0.005938291549682617,0.0019794305165608725,0.0033720035030571634,0.005872964859008789,6.198883056640625e-06,0.4942028522491455,0.24710142612457275,0.3493806840033012,0.49415087699890137,5.1975250244140625e-05,0,Benign
4,2,205,61,48,51.25,6.5,127,79,48,63.5,21.920310216782973,0.001255035400390625,163342.00607902734,101192.36474164134,0.0011761188507080078,0.00039203961690266925,0.0006249232639376303,0.0011129379272460938,4.0531158447265625e-06,7.891654968261719e-05,3.9458274841308594e-05,1.7701676374575494e-05,5.1975250244140625e-05,2.6941299438476562e-05,0,Benign
4,2,205,61,48,51.25,6.5,127,79,48,63.5,21.920310216782973,0.0012810230255126953,160028.34915317327,99139.51386562442,0.0011630058288574219,0.0003876686096191406,0.0006225936342322803,0.0011060237884521484,4.0531158447265625e-06,0.00011801719665527344,5.900859832763672e-05,1.5172865463921851e-06,6.008148193359375e-05,5.793571472167969e-05,0,Benign
4,2,205,61,48,51.25,6.5,127,79,48,63.5,21.920310216782973,0.001194000244140625,171691.7571884984,106365.13738019169,0.0011341571807861328,0.0003780523935953776,0.0006434590304372854,0.0011210441589355469,3.0994415283203125e-06,5.984306335449219e-05,2.9921531677246094e-05,2.5456696500579994e-05,4.792213439941406e-05,1.1920928955078125e-05,0,Benign
4,2,205,61,48,51.25,6.5,127,79,48,63.5,21.920310216782973,0.001260995864868164,162569.92248062015,100714.04953677444,0.001119852066040039,0.00037328402201334637,0.0006112543398318871,0.0010788440704345703,4.0531158447265625e-06,0.000141143798828125,7.05718994140625e-05,3.169443008019231e-05,9.298324584960938e-05,4.8160552978515625e-05,0,Benign
4,2,205,61,48,51.25,6.5,127,79,48,63.5,21.920310216782973,0.0013699531555175781,149640.1531500174,92703.89975635224,0.0012209415435791016,0.0004069805145263672,0.000692124207413727,0.0012061595916748047,2.86102294921875e-06,0.00014901161193847656,7.450580596923828e-05,6.558049628295111e-05,0.00012087821960449219,2.8133392333984375e-05,0,Benign
4,2,205,61,48,51.25,6.5,127,79,48,63.5,21.920310216782973,0.001405954360961914,145808.43140579955,90330.10140749534,0.0011320114135742188,0.00037733713785807293,0.0006148501446479291,0.0010869503021240234,3.0994415283203125e-06,0.0002739429473876953,0.00013697147369384766,0.00017415077804701414,0.0002601146697998047,1.3828277587890625e-05,0,Benign
4,2,205,61,48,51.25,6.5,127,79,48,63.5,21.920310216782973,0.0013070106506347656,156846.46479387084,97168.29770156876,0.0012371540069580078,0.0004123846689860026,0.0006392535805490803,0.0011489391326904297,2.1457672119140625e-06,6.985664367675781e-05,3.4928321838378906e-05,3.253736705041019e-05,5.793571472167969e-05,1.1920928955078125e-05,0,Benign
4,2,205,61,48,51.25,6.5,127,79,48,63.5,21.920310216782973,0.001316070556640625,155766.72463768115,96499.38550724638,0.0012080669403076172,0.00040268898010253906,0.0006748396502389682,0.0011818408966064453,3.0994415283203125e-06,0.00010800361633300781,5.4001808166503906e-05,5.512807785224939e-05,9.298324584960938e-05,1.5020370483398438e-05,0,Benign
