tot_fw_pk,tot_bw_pk,tot_l_fw_pkt,fw_pkt_l_max,fw_pkt_l_min,fw_pkt_l_avg,fw_pkt_l_std,tot_l_bw_pkt,bw_pkt_l_max,bw_pkt_l_min,bw_pkt_l_avg,bw_pkt_l_std,fl_dur,fw_fl_byt_s,bw_fl_byt_s,fw_iat_tot,fw_iat_avg,fw_iat_std,fw_iat_max,fw_iat_min,bw_iat_tot,bw_iat_avg,bw_iat_std,bw_iat_max,bw_iat_min,Label_code,Label_Desc
4,2,208,64,48,52.0,8.0,128,80,48,64.0,22.627416997969522,0.09268307685852051,2244.206893535799,1381.05039602203,0.0926508903503418,0.030883630116780598,0.05347653108905553,0.09263300895690918,2.86102294921875e-06,3.218650817871094e-05,1.609325408935547e-05,2.865985698740794e-06,1.811981201171875e-05,1.4066696166992188e-05,0,Benign
4,2,208,64,48,52.0,8.0,128,80,48,64.0,22.627416997969522,0.0013458728790283203,154546.5424269265,95105.5645704163,0.001271963119506836,0.00042398770650227863,0.0007205404841541745,0.0012559890747070312,5.0067901611328125e-06,7.390975952148438e-05,3.695487976074219e-05,2.528810910653642e-05,5.4836273193359375e-05,1.9073486328125e-05,0,Benign
4,2,4304,4144,48,1076.0,2045.347240283012,128,80,48,64.0,22.627416997969522,0.003139972686767578,1370712.5600607442,40764.685801063024,0.0031270980834960938,0.0010423660278320312,0.0017940753795696986,0.003113985061645508,5.0067901611328125e-06,1.2874603271484375e-05,6.4373016357421875e-06,5.057621821307284e-06,1.0013580322265625e-05,2.86102294921875e-06,0,Benign
4,2,208,64,48,52.0,8.0,128,80,48,64.0,22.627416997969522,0.003787994384765625,54910.32426988923,33790.96878147029,0.003759145736694336,0.001253048578898112,0.002158990360767338,0.00374603271484375,3.0994415283203125e-06,2.8848648071289062e-05,1.4424324035644531e-05,4.889034427263707e-06,1.7881393432617188e-05,1.0967254638671875e-05,0,Benign
4,2,208,64,48,52.0,8.0,128,80,48,64.0,22.627416997969522,0.0007739067077636719,268766.24522489216,165394.6124460875,0.0007448196411132812,0.00024827321370442707,0.0004180576702594011,0.0007309913635253906,3.814697265625e-06,2.9087066650390625e-05,1.4543533325195312e-05,5.057621821307284e-06,1.811981201171875e-05,1.0967254638671875e-05,0,Benign
4,2,208,64,48,52.0,8.0,128,80,48,64.0,22.627416997969522,0.0007410049438476562,280699.8815958816,172738.38867438867,0.0007119178771972656,0.00023730595906575522,0.00039988335210720664,0.0006990432739257812,4.0531158447265625e-06,2.9087066650390625e-05,1.4543533325195312e-05,5.057621821307284e-06,1.811981201171875e-05,1.0967254638671875e-05,0,Benign
4,2,208,64,48,52.0,8.0,128,80,48,64.0,22.627416997969522,0.0005970001220703125,348408.63897763577,214405.3162939297,0.0005660057067871094,0.00018866856892903647,0.0003154462812269182,0.0005528926849365234,3.0994415283203125e-06,3.0994415283203125e-05,1.5497207641601562e-05,4.7204470332201316e-06,1.8835067749023438e-05,1.2159347534179688e-05,0,Benign
4,2,208,64,48,52.0,8.0,128,80,48,64.0,22.627416997969522,0.09780001640319824,2126.789009344154,1308.7932365194795,0.0977180004119873,0.032572666803995766,0.056398518145919,0.09769606590270996,6.9141387939453125e-06,8.20159912109375e-05,4.100799560546875e-05,7.080670549830197e-06,4.601478576660156e-05,3.600120544433594e-05,0,Benign
4,2,192,48,48,48.0,0.0,128,80,48,64.0,22.627416997969522,0.00021600723266601562,888859.1258278146,592572.7505518764,0.000164031982421875,5.4677327473958336e-05,7.057525545165052e-05,0.0001361370086669922,1.1920928955078125e-05,5.1975250244140625e-05,2.5987625122070312e-05,1.7195914192444765e-05,3.814697265625e-05,1.3828277587890625e-05,0,Benign
4,2,208,64,48,52.0,8.0,128,80,48,64.0,22.627416997969522,0.003565073013305664,58343.826121848455,35903.89299806059,0.0035381317138671875,0.0008845329284667969,0.0013128509189964898,0.0027980804443359375,1.4066696166992188e-05,2.6941299438476562e-05,2.6941299438476562e-05,,2.6941299438476562e-05,2.6941299438476562e-05,0,Benign
4,2,208,64,48,52.0,8.0,128,80,48,64.0,22.627416997969522,0.0028090476989746094,74046.44644372772,45567.0439653709,0.0027990341186523438,0.0006997585296630859,0.0012485219697201293,0.0025708675384521484,9.059906005859375e-06,1.0013580322265625e-05,1.0013580322265625e-05,,1.0013580322265625e-05,1.0013580322265625e-05,0,Benign
