tot_fw_pk,tot_bw_pk,tot_l_fw_pkt,fw_pkt_l_max,fw_pkt_l_min,fw_pkt_l_avg,fw_pkt_l_std,tot_l_bw_pkt,bw_pkt_l_max,bw_pkt_l_min,bw_pkt_l_avg,bw_pkt_l_std,fl_dur,fw_fl_byt_s,bw_fl_byt_s,fw_iat_tot,fw_iat_avg,fw_iat_std,fw_iat_max,fw_iat_min,bw_iat_tot,bw_iat_avg,bw_iat_std,bw_iat_max,bw_iat_min,Label_code,Label_Desc
2,4,109,61,48,54.5,9.192388155425117,254,79,48,63.5,17.897858344878397,2.048307180404663,53.2146745579762,124.00483796078859,5.888938903808594e-05,2.944469451904297e-05,1.5004278069878275e-05,4.00543212890625e-05,1.8835067749023438e-05,2.048248291015625,0.6827494303385416,1.182501160027924,2.0481841564178467,2.3126602172851562e-05,0,Benign
4,2,218,61,48,54.5,7.505553499465135,127,79,48,63.5,21.920310216782973,2.048056125640869,106.44239543571315,62.01001935933748,8.916854858398438e-05,2.9722849527994793e-05,1.4333564231175967e-05,4.220008850097656e-05,1.4066696166992188e-05,2.047966957092285,1.0239834785461426,1.4480719802432307,2.0479249954223633,4.1961669921875e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,254,79,48,63.5,17.897858344878397,2.0477259159088135,53.229779997985744,124.04003779347137,9.989738464355469e-05,4.9948692321777344e-05,3.826933844789178e-05,7.700920104980469e-05,2.288818359375e-05,2.04762601852417,0.6825420061747233,1.1821057579276337,2.047520160675049,1.7881393432617188e-05,0,Benign
4,2,218,61,48,54.5,7.505553499465135,127,79,48,63.5,21.920310216782973,2.0482709407806396,106.43123214788936,62.00351597606399,8.511543273925781e-05,2.8371810913085938e-05,1.33514404296875e-05,3.790855407714844e-05,1.3113021850585938e-05,2.0481858253479004,1.0240929126739502,1.4480119631309512,2.047991991043091,0.0001938343048095703,0,Benign
4,2,717,560,48,179.25,253.90729935680594,127,79,48,63.5,21.920310216782973,0.0006630420684814453,1081379.3484358145,191541.39086659474,0.0006201267242431641,0.00015503168106079102,0.0002927730561306543,0.0005941390991210938,5.0067901611328125e-06,4.291534423828125e-05,4.291534423828125e-05,,4.291534423828125e-05,4.291534423828125e-05,0,Benign
4,2,717,560,48,179.25,253.90729935680594,127,79,48,63.5,21.920310216782973,0.00047588348388671875,1506671.3266533066,266872.04809619236,0.00042891502380371094,0.00010722875595092773,0.00017684888616375084,0.0003719329833984375,5.9604644775390625e-06,4.696846008300781e-05,4.696846008300781e-05,,4.696846008300781e-05,4.696846008300781e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,254,79,48,63.5,17.897858344878397,2.0480470657348633,53.221433151434695,124.0205873437102,5.3882598876953125e-05,2.6941299438476562e-05,1.5510040252009004e-05,3.790855407714844e-05,1.5974044799804688e-05,2.0479931831359863,0.6826643943786621,1.1823010153954565,2.047868013381958,6.198883056640625e-05,0,Benign
4,2,218,61,48,54.5,7.505553499465135,127,79,48,63.5,21.920310216782973,2.047896146774292,106.45071057112877,62.01486349785942,8.511543273925781e-05,2.8371810913085938e-05,1.289445617960926e-05,3.910064697265625e-05,1.4066696166992188e-05,2.0478110313415527,1.0239055156707764,1.4479404820758768,2.0477540493011475,5.698204040527344e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.0038270950317382812,28481.13231996013,16112220.75454772,9.417533874511719e-05,4.7087669372558594e-05,1.5172865463921851e-06,4.8160552978515625e-05,4.601478576660156e-05,0.003732919692993164,0.0012443065643310547,0.0020644037388279006,0.0036280155181884766,3.790855407714844e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,8415,8240,48,2103.75,4090.859434967995,0.0005359649658203125,203371.50177935942,15700653.096085409,8.20159912109375e-05,4.100799560546875e-05,7.080670549830197e-06,4.601478576660156e-05,3.600120544433594e-05,0.000453948974609375,0.00015131632486979166,0.00017621283685985566,0.000354766845703125,4.696846008300781e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,5343,5168,48,1335.75,2554.8751274116444,0.002775907516479492,39266.43785965817,1924775.9402215923,0.0008261203765869141,0.00041306018829345703,0.0005133486148626894,0.0007760524749755859,5.0067901611328125e-05,0.0019497871398925781,0.0006499290466308594,0.0010383763058533443,0.0018489360809326172,4.696846008300781e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.0035219192504882812,30949.034389385324,17508351.445437312,8.988380432128906e-05,4.494190216064453e-05,1.567862764605258e-05,5.602836608886719e-05,3.3855438232421875e-05,0.003432035446166992,0.0011440118153889973,0.0018982776223335166,0.0033359527587890625,4.601478576660156e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,735,560,48,183.75,251.25866485887937,0.002814054489135742,38734.14691180208,261188.97229517918,0.001703023910522461,0.0008515119552612305,0.0010996955713462471,0.0016291141510009766,7.390975952148438e-05,0.0011110305786132812,0.00037034352620442707,0.0005757136993508256,0.0010349750518798828,2.5987625122070312e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.003406047821044922,32001.899482010358,18103973.649167016,7.200241088867188e-05,3.600120544433594e-05,1.1126768006876024e-05,4.38690185546875e-05,2.8133392333984375e-05,0.00333404541015625,0.0011113484700520833,0.0018574075008787945,0.003256082534790039,3.1948089599609375e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,1247,1072,48,311.75,507.04396587804234,0.002905130386352539,37519.830611407466,429240.6309396799,0.0016541481018066406,0.0008270740509033203,0.0011143626746280381,0.0016150474548339844,3.910064697265625e-05,0.0012509822845458984,0.0004169940948486328,0.0005857763027537014,0.0010929107666015625,5.698204040527344e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.0035598278045654297,30619.458576116805,17321905.26769808,5.984306335449219e-05,2.9921531677246094e-05,2.6805395652928604e-05,4.887580871582031e-05,1.0967254638671875e-05,0.0034999847412109375,0.0011666615804036458,0.0019350349509132858,0.003401041030883789,4.482269287109375e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.0030438899993896484,35809.441215634055,20257959.391556356,9.393692016601562e-05,4.696846008300781e-05,0.0,4.696846008300781e-05,4.696846008300781e-05,0.002949953079223633,0.0009833176930745442,0.0015585046179312032,0.002782106399536133,3.695487976074219e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.0030481815338134766,35759.02510754791,20229438.21290575,9.608268737792969e-05,4.8041343688964844e-05,1.6858739404357614e-07,4.8160552978515625e-05,4.792213439941406e-05,0.002952098846435547,0.0009840329488118489,0.0016220116620417823,0.0028569698333740234,4.601478576660156e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.0027887821197509766,39085.16166538429,22111085.539198086,7.891654968261719e-05,3.9458274841308594e-05,2.0736249467359865e-05,5.412101745605469e-05,2.47955322265625e-05,0.0027098655700683594,0.0009032885233561198,0.0014788584669540353,0.002610921859741211,4.57763671875e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.0031280517578125,34845.97073170732,19712909.112195123,9.799003601074219e-05,4.8995018005371094e-05,1.5172865463921851e-06,5.0067901611328125e-05,4.792213439941406e-05,0.003030061721801758,0.0010100205739339192,0.0015163250375876233,0.0027570724487304688,3.600120544433594e-05,0,Benign
