tot_fw_pk,tot_bw_pk,tot_l_fw_pkt,fw_pkt_l_max,fw_pkt_l_min,fw_pkt_l_avg,fw_pkt_l_std,tot_l_bw_pkt,bw_pkt_l_max,bw_pkt_l_min,bw_pkt_l_avg,bw_pkt_l_std,fl_dur,fw_fl_byt_s,bw_fl_byt_s,fw_iat_tot,fw_iat_avg,fw_iat_std,fw_iat_max,fw_iat_min,bw_iat_tot,bw_iat_avg,bw_iat_std,bw_iat_max,bw_iat_min,Label_code,Label_Desc
6,0,1496,350,48,249.33333333333334,155.95212940728533,0,0,0,0.0,0.0,0.30719900131225586,4869.807498102424,0.0,0.30719900131225586,0.061439800262451175,0.0560730077351126,0.10241413116455078,1.0967254638671875e-05,0.0,0.0,0.0,0.0,0.0,0,Benign
6,0,288,48,48,48.0,0.0,0,0,0,0.0,0.0,1.2874603271484375e-05,22369621.333333332,0.0,1.2874603271484375e-05,2.574920654296875e-06,5.168791625184727e-07,3.0994415283203125e-06,1.9073486328125e-06,0.0,0.0,0.0,0.0,0.0,0,Benign
6,0,1798,350,48,299.6666666666667,123.29098372008661,0,0,0,0.0,0.0,0.5121960639953613,3510.3744959982423,0.0,0.5121960639953613,0.10243921279907227,0.00019931931529409343,0.10265707969665527,0.1021571159362793,0.0,0.0,0.0,0.0,0.0,0,Benign
6,0,1496,350,48,249.33333333333334,155.95212940728533,0,0,0,0.0,0.0,0.30725908279418945,4868.8552552962665,0.0,0.30725908279418945,0.06145181655883789,0.056094245993515535,0.10351014137268066,9.059906005859375e-06,0.0,0.0,0.0,0.0,0.0,0,Benign
6,0,288,48,48,48.0,0.0,0,0,0,0.0,0.0,1.2159347534179688e-05,23685481.411764707,0.0,1.2159347534179688e-05,2.4318695068359373e-06,3.9176170170676666e-07,2.86102294921875e-06,2.1457672119140625e-06,0.0,0.0,0.0,0.0,0.0,0,Benign
5,1,1448,350,48,289.6,135.0585058409873,211,211,211,211.0,,28.203058004379272,51.341950216007056,7.481458215177824,0.4095940589904785,0.10239851474761963,4.179040862773632e-05,0.10245800018310547,0.10236406326293945,27.793463945388794,27.793463945388794,,27.793463945388794,27.793463945388794,0,Benign
3,3,4302,1434,1434,1434.0,0.0,307,211,48,102.33333333333333,94.108093877909,0.0004100799560546875,10490637.097674418,748634.4930232558,0.0002849102020263672,9.497006734212239e-05,6.980020328312906e-05,0.00016999244689941406,3.1948089599609375e-05,0.0001251697540283203,6.258487701416016e-05,1.0621005824745295e-05,7.009506225585938e-05,5.507469177246094e-05,0,Benign
4,2,4350,1434,48,1087.5,693.0,259,211,48,129.5,115.25840533340725,0.0004210472106933594,10331383.012457531,615132.919592299,0.0003428459167480469,0.00011428197224934895,9.534726326986546e-05,0.00018906593322753906,6.9141387939453125e-06,7.82012939453125e-05,3.910064697265625e-05,7.080670549830197e-06,4.410743713378906e-05,3.409385681152344e-05,0,Benign
6,0,288,48,48,48.0,0.0,0,0,0,0.0,0.0,1.5020370483398438e-05,19173961.14285714,0.0,1.5020370483398438e-05,3.0040740966796874e-06,5.984258841519896e-07,3.814697265625e-06,2.1457672119140625e-06,0.0,0.0,0.0,0.0,0.0,0,Benign
4,2,2964,1434,48,741.0,800.2074730968213,259,211,48,129.5,115.25840533340725,0.0003170967102050781,9347306.057142857,816785.5157894737,0.00020623207092285156,6.874402364095052e-05,0.00011452665031704819,0.0002009868621826172,2.1457672119140625e-06,0.00011086463928222656,5.543231964111328e-05,9.272306672396687e-06,6.198883056640625e-05,4.887580871582031e-05,0,Benign
2,4,2868,1434,1434,1434.0,0.0,518,211,48,129.5,94.108093877909,0.002604961395263672,1100976.0087863812,198851.3153944719,0.002393960952758789,0.0011969804763793945,0.001571403099880173,0.0023081302642822266,8.58306884765625e-05,0.0002110004425048828,7.033348083496094e-05,1.6233486681508257e-05,8.797645568847656e-05,5.602836608886719e-05,0,Benign
4,2,5736,1434,1434,1434.0,0.0,259,211,48,129.5,115.25840533340725,0.011694908142089844,490469.86349180463,22146.390279703173,0.011556863784790039,0.003852287928263346,0.0032001638846038405,0.005861043930053711,0.00016188621520996094,0.0001380443572998047,6.902217864990234e-05,7.2492579438737736e-06,7.414817810058594e-05,6.389617919921875e-05,0,Benign
4,2,1578,1434,48,394.5,693.0,259,211,48,129.5,115.25840533340725,4.100799560546875e-05,38480300.65116279,6315841.488372093,2.5987625122070312e-05,6.496906280517578e-06,3.565002253430189e-06,1.0013580322265625e-05,2.86102294921875e-06,1.5020370483398438e-05,1.5020370483398438e-05,,1.5020370483398438e-05,1.5020370483398438e-05,0,Benign
