tot_fw_pk,tot_bw_pk,tot_l_fw_pkt,fw_pkt_l_max,fw_pkt_l_min,fw_pkt_l_avg,fw_pkt_l_std,tot_l_bw_pkt,bw_pkt_l_max,bw_pkt_l_min,bw_pkt_l_avg,bw_pkt_l_std,fl_dur,fw_fl_byt_s,bw_fl_byt_s,fw_iat_tot,fw_iat_avg,fw_iat_std,fw_iat_max,fw_iat_min,bw_iat_tot,bw_iat_avg,bw_iat_std,bw_iat_max,bw_iat_min,Label_code,Label_Desc
2,4,109,61,48,54.5,9.192388155425117,254,79,48,63.5,17.897858344878397,2.047996997833252,53.22273426929837,124.0236193064384,0.002763,0.0013815,0.0019537360364184305,0.002763,0.0,2.048064,0.512016,1.0239780002776753,2.047983,0.0,0,Benign
4,2,218,61,48,54.5,7.505553499465135,127,79,48,63.5,21.920310216782973,2.048007011413574,106.44494808127251,62.01150645101656,2.0507510000000004,0.5126877500000001,1.021763631692567,2.045332,0.0,7.9e-05,3.95e-05,5.586143571373725e-05,7.9e-05,0.0,0,Benign
2,4,109,61,48,54.5,9.192388155425117,254,79,48,63.5,17.897858344878397,2.0481090545654297,53.21982233173993,124.01683369047652,0.002688,0.001344,0.0019007030278294396,0.002688,0.0,2.048238,0.5120595,1.0240283338988558,2.048102,0.0,0,Benign
4,2,218,61,48,54.5,7.505553499465135,127,79,48,63.5,21.920310216782973,2.047746181488037,106.45850641586146,62.019405113827546,2.050504,0.512626,1.0214755446209502,2.044838,0.0,2e-05,1e-05,1.4142135623730951e-05,2e-05,0.0,0,Benign
2,4,109,61,48,54.5,9.192388155425117,254,79,48,63.5,17.897858344878397,1.2798469066619873,85.1664362609483,198.46123679156761,0.002774,0.001387,0.0019615142110114827,0.002774,0.0,1.279867,0.31996675,0.6398935002312884,1.279807,0.0,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.0001678466796875,649402.1818181818,367376942.54545456,3.9e-05,1.95e-05,2.7577164466275353e-05,3.9e-05,0.0,0.006827,0.00170675,0.0032520653309345846,0.006583,0.0,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,8.106231689453125e-05,1344644.517647059,760686375.1529412,1.5e-05,7.5e-06,1.0606601717798212e-05,1.5e-05,0.0,0.005283,0.00132075,0.002563006226419801,0.005165,0.0,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.0003540515899658203,307864.73804713803,174163883.8734007,3.7e-05,1.85e-05,2.6162950903902258e-05,3.7e-05,0.0,0.005464,0.001366,0.002472407194078947,0.005072,0.0,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.00035691261291503906,305396.88443553774,172767780.5958584,1.6e-05,8e-06,1.131370849898476e-05,1.6e-05,0.0,0.00572,0.00143,0.002594500722682497,0.005319,0.0,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.00020813941955566406,523687.44100801833,296258152.9805269,4.1e-05,2.05e-05,2.8991378028648448e-05,4.1e-05,0.0,0.005475000000000001,0.0013687500000000002,0.002571795141530523,0.005224,0.0,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.00019288063049316406,565116.3609394314,319695139.1248455,1.9e-05,9.5e-06,1.3435028842544404e-05,1.9e-05,0.0,0.005517,0.00137925,0.002601930229015887,0.00528,0.0,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.00024390220642089844,446900.42619745847,252818541.10654935,4.4e-05,2.2e-05,3.111269837220809e-05,4.4e-05,0.0,0.005423,0.00135575,0.0025204304361226343,0.005134,0.0,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.0003628730773925781,300380.50985545333,169929939.25886992,4.3e-05,2.15e-05,3.0405591591021543e-05,4.3e-05,0.0,0.005659,0.00141475,0.0025601824642005498,0.005247,0.0,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.00026798248291015625,406743.00355871883,230100860.8113879,3.9e-05,1.95e-05,2.7577164466275353e-05,3.9e-05,0.0,0.003196,0.000799,0.0013959543927602603,0.002885,0.0,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.00020313262939453125,536595.2300469483,303560290.5539906,3.6e-05,1.8e-05,2.5455844122715712e-05,3.6e-05,0.0,0.005582999999999999,0.0013957499999999999,0.0026290344710558668,0.005337,0.0,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.00016188621520996094,673312.4241531665,380903339.5463917,1.7e-05,8.5e-06,1.2020815280171307e-05,1.7e-05,0.0,0.0054139999999999995,0.0013534999999999999,0.00256936639400975,0.005206,0.0,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.0002090930938720703,521298.9007981756,294906918.5313569,4.3e-05,2.15e-05,3.0405591591021543e-05,4.3e-05,0.0,0.005511,0.00137775,0.002587880004302106,0.005257,0.0,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.00020885467529296875,521893.9908675799,295243570.2648402,3.2e-05,1.6e-05,2.262741699796952e-05,3.2e-05,0.0,0.005471,0.00136775,0.0025672912281235255,0.005216,0.0,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.0001659393310546875,656866.5747126436,371599666.0229885,1.7e-05,8.5e-06,1.2020815280171307e-05,1.7e-05,0.0,0.005271,0.00131775,0.002516563712022143,0.005091,0.0,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.0001900196075439453,573625.0138017565,324508616.7528231,1.8e-05,9e-06,1.2727922061357856e-05,1.8e-05,0.0,0.005365,0.00134125,0.0025279250219630064,0.005131,0.0,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.00011014938354492188,989565.2294372295,559812483.8787879,3.5e-05,1.75e-05,2.474873734152916e-05,3.5e-05,0.0,0.005286,0.0013215,0.0025469954194435977,0.005141,0.0,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.00035500526428222656,307037.7004701142,173696015.81732705,3.9e-05,1.95e-05,2.7577164466275353e-05,3.9e-05,0.0,0.0056689999999999996,0.0014172499999999999,0.002571144411217179,0.005266,0.0,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.00026297569274902344,414486.97733454214,234481747.55394378,4e-05,2e-05,2.8284271247461902e-05,4e-05,0.0,0.0030269999999999997,0.0007567499999999999,0.0013190333265943913,0.002728,0.0,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,6.699562072753906e-05,1626972.0142348753,920403443.2455516,1.3e-05,6.5e-06,9.192388155425117e-06,1.3e-05,0.0,0.0052580000000000005,0.0013145000000000001,0.0025651217644912425,0.005162,0.0,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.0001678466796875,649402.1818181818,367376942.54545456,1.3e-05,6.5e-06,9.192388155425117e-06,1.3e-05,0.0,0.005242,0.0013105,0.0024898878823486543,0.005044,0.0,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.0002970695495605469,366917.44462279294,207570920.98876405,4e-05,2e-05,2.8284271247461902e-05,4e-05,0.0,0.005399,0.00134975,0.0024801172519325235,0.005068,0.0,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.0001327991485595703,820788.39497307,464332796.3231598,4e-05,2e-05,2.8284271247461902e-05,4e-05,0.0,0.00531,0.0013275,0.002542839685600857,0.005141,0.0,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.0002739429473876953,397893.06875543954,225094314.66666666,4e-05,2e-05,2.8284271247461902e-05,4e-05,0.0,0.005396,0.001349,0.0024912227252228305,0.005084,0.0,0,Benign
